ID,References,Author,Climate,Name,Outlet Name,Yrs,Size(km2),L(km),RD(mm),QA,Rc,TSSC(mg/L),TSSL(g m-2 a-1),POCC ,DOCC ,PICC ,DICC ,TOCC (mg/L),POCL,DOCL,PICL,DICL,TOCL (g m-2 a-1),Total Rainfall,MAP,MAT,S,LAT,LONG,LU,Vc(%),RSCI(%),SOC(%),BD(g/cm3),CLAY(%),SILT(%),
1,1,Chen et al. 2005,Semiarid,Daheihe River,Togtoh(1956-1980),25,17700 ,236,24 ,13.63521055,0.060734463,,338.983 ,,,,,,,,,,,400,400,4.5,2.07627119,40.25,111.15,Agriculture,,,1,1.2901,,,
2,1,Chen et al. 2005,Semiarid,Dawenhe River,Dongping(1956-1980),25,9100 ,239,200 ,57.71182141,0.307692308,,219.780 ,,,,,,,,,,,650,650,13,1.29707113,35.92,116.36,Agriculture,,,0.7,1.333935351,,,
3,1,Chen et al. 2005,Semiarid,Fenhe River,Hejin(1956-1980),25,39500 ,694,36 ,45.66210046,0.068784332,,708.861 ,,,,,,,,,,,530,530,9,2.34870317,35.52,110.63,Agriculture,21.79,,0.65,1.34304322,,,
4,1,Chen et al. 2005,Semiarid,Huangshui River,Yongjing(1956-1980),25,32900 ,374,141 ,147.4505327,0.281548578,,729.483 ,,,,,,,,,,,502,502,4.2,3.74331551,36.15,103.31,Agriculture,,,,,,,
5,1,Chen et al. 2005,Semiarid,Kushuihe River,Lingwu(1956-1980),25,2500 ,224,8 ,0.5945586,0.03,,577.000 ,,,,,,,,,,,250,250,9,0.75892857,38.29,106.35,Grassland,,,0.5,1.57,5,6,
6,1,Chen et al. 2005,Semiarid,Kuyehe River,Wenjiachuan(1956-1980),25,8700 ,242,86 ,23.78234399,0.215517241,,15632.184 ,,,,,,,,,,,400,400,7.5,2.89256198,38.47,110.76,Grassland,16.06,,0.4524,1.387582871,,,
7,1,Chen et al. 2005,Semiarid,Luohe River,Gongyi(1956-1980),25,18900 ,447,181 ,108.7645865,0.32996633,,952.381 ,,,,,,,,,,,550,550,13,2.66219239,34.82,113.07,Agriculture,,,0.7,1.333935351,,,
8,1,Chen et al. 2005,Semiarid,Qingshuihe River,Zhongning(1956-1980),25,14500 ,320,8 ,3.805175038,0.02364532,,1724.138 ,,,,,,,,,,,350,350,5.5,1.75,37.39,105.64,Grassland,,,0.8758,1.306398694,21,43,
9,1,Chen et al. 2005,Semiarid,Qinhe River,Wuzhi(1956-1980),25,12900 ,485,138 ,56.44342973,0.214929122,,542.636 ,,,,,,,,,,,642,642,12,3.09278351,35.01,113.43,Agriculture,,,0.7,1.333935351,,,
10,1,Chen et al. 2005,Semiarid,Taohe River,Yongjing(1956-1980),25,25500 ,673,208 ,168.0618975,0.34468182,,1137.255 ,,,,,,,,,,,603,603,7.5,2.79346211,35.92,103.38,Grassland,,,0.85,1.310073576,,,
11,1,Chen et al. 2005,Semiarid,Weihe River,Tongguan(1956-1980),25,134800 ,818,42 ,179.5281583,0.066772655,,1268.546 ,,,,,,,,,,,629,629,9.5,3.02200489,34.64,110.18,Agriculture,17.78,,0.65,1.34304322,,,
12,1,Chen et al. 2005,Semiarid,Wudinghe River,Qingjian(1956-1980),25,30300 ,491,46 ,44.39370878,0.115511551,,7161.716 ,,,,,,,,,,,400,400,8,3.01652893,37.05,110.44,Agriculture,14.62,,0.4542,1.387094849,,,
13,1,Chen et al. 2005,Semiarid,Zulihe River,Jingyuan(1956-1980),25,10700 ,224,13 ,4.439370878,0.043613707,,5794.393 ,,,,,,,,,,,300,300,7.5,4.46428571,36.57,104.65,Grassland,,,0.5,1.375287788,21,43,
14,2,Chenji Xie. 2014,Humid subtropical,Dongjiang River,Boluo(2011),1,25300 ,562,825 ,661.8626332,0.59,,,,,,,,,0.85770751,,4.150197628,0.85770751,1401.4,1401.4,20,0.39,23.17,114.29,Forest,,75,,,,,
15,3,Gao et al. 2000,Humid subtropical,Xijiang River,Makou(1997-1998),1,353120 ,2214,651 ,7293,0.4008087,,,,,,,,8.297462619,1.880380607,,,10.16651563,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
16,4,Gao et al. 2001,Humid subtropical,Beijiang River,Sanshui(1997-1998),1,46710 ,468,1092 ,1617,0.610746109,,,,,,,,6.540355384,3.468208092,,,10.00856348,1787.5,1787.5,20,1.0491453,23.17,112.83,Forest,,,,,,,
17,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(July 1997),1,353120 ,2214,,,,1296.94,,24.74,4.6,,,29.34,8.297462619,10.47568192,,,10.16651563,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
18,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(October 1997),1,353120 ,2214,,,,163.33,,3.02,1.36,,,4.38,5.016538831,2.25910358,,,7.275642411,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
19,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(February 1998),1,353120 ,2214,268 ,3000,0.164874002,19.56,,0.71,1.02,,,1.73,0.19022338,0.273278659,,,0.463502039,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
20,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(April 1998),1,353120 ,2214,357 ,4000,0.219832003,26.07,,0.58,1.12,,,1.7,0.207191663,0.400094246,,,0.607285908,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
21,6,Gao et al. 2007,Humid subtropical,Zengjiang River,Qilinzui(2002-2003),1,2866 ,230,1331 ,121,0.608511056,64,85.211 ,209.6698051,,,,,0.800069784,,,,0.800069784,2188,2188,21.6,1.93043478,23.29,113.84,Forest,50,,1.1368,1.274342094,21,50,
22,7,Gao et al. 2015,Humid subtropical,Hanjiang River,Huangzhuang(1990-2010),21,142056 ,1577,352 ,1585.607306,0.391111111,209.9844108,73.915 ,,,,,,,,,,,900,900,15,0.60621433,31.08,112.53,Forest,,55,,,,,
23,7,Gao et al. 2015,Humid continental,Jailingjiang River,Beibei(2000-2010),11,156700 ,1119,416 ,2067.072552,0.431088083,460.213048,191.449 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,39.18,9.3,,,,,
24,7,Gao et al. 2015,Highlands,Jinshajiang River,Pingshan(2000-2010),11,485000 ,2316,318 ,4890.601218,0.447887324,1202.749141,382.474 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,20.08,5.6,,,,,
25,7,Gao et al. 2015,Highlands,Minjiang River(Sichuan),Gaochang(1990-2010),21,125400 ,735,649 ,2580.688737,0.599261311,405.4821182,263.158 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,,1.75,,,,,
26,7,Gao et al. 2015,Humid subtropical,Wujiang River,Wulong(2005-2010),6,83035 ,1037,600 ,1579.813546,0.517241379,180.6467152,108.388 ,,,,,,,,,,,1160,1160,15,1.70684667,29.5,107.48,Forest,,9.57,,,,,
27,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1956?1969),14,485000 ,2316,310 ,4765.875507,0.436464789,1543.613913,478.351 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,0.5,,,,,
28,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1970-1985),16,485000 ,2316,275 ,4229.293506,0.387323944,1694.470478,465.979 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,1,,,,,
29,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1986-2002),17,485000 ,2316,313 ,4813.704972,0.44084507,1811.534534,567.010 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,10.1,2,,,,,
30,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(2003-2010),8,485000 ,2316,301 ,4629.153983,0.423943662,1034.352844,311.340 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,5.6,,,,,
31,7,Gao et al. 2015,Humid subtropical,Yangtze River,Yichang(1956?1969),14,1005500 ,4529,442 ,14092.81456,0.44,1230.787231,544.008 ,,,,,,,,,,,1004.545455,896,12,1.42703297,30.76,111.26,Forest,,0.41,,,,,
32,7,Gao et al. 2015,Humid subtropical,Yangtze River,Yichang(1970-1985),16,1005500 ,4529,432 ,13773.9726,0.43,1199.421699,518.150 ,,,,,,,,,,,1004.651163,896,12,1.42703297,30.76,111.26,Forest,,1.42,,,,,
33,7,Gao et al. 2015,Humid subtropical,Yangtze River,Yichang(1986-2002),17,1005500 ,4529,426 ,13569.91375,0.44,944.0558133,401.790 ,,,,,,,,,,,967.2727273,896,12,1.42703297,30.76,111.26,Forest,21,5.73,,,,,
34,7,Gao et al. 2015,Humid subtropical,Yangtze River,Yichang(2003-2010),8,1005500 ,4529,401 ,12775.99727,0.42,136.5089959,54.699 ,,,,,,,,,,,954.047619,896,12,1.42703297,30.76,111.26,Forest,,16,,,,,
35,7,Gao et al. 2015,Humid subtropical,Yangtze River,Hankou(1956?1969),14,1488000 ,5360,465 ,21940.63927,0.43,666.2619956,309.812 ,,,,,,,,,,,1081.395349,1000,14,1.23003731,30.59,114.32,Forest,,,,,,,
36,7,Gao et al. 2015,Humid subtropical,Yangtze River,Hankou(1970-1985),16,1488000 ,5360,475 ,22412.48097,0.42,602.7164686,286.290 ,,,,,,,,,,,1130.952381,1000,14,1.23003731,30.59,114.32,Forest,,,,,,,
37,7,Gao et al. 2015,Humid subtropical,Yangtze River,Hankou(1986-2002),17,1488000 ,5360,485 ,22865.44901,0.45,459.0306161,222.446 ,,,,,,,,,,,1076.888889,1000,14,1.23003731,30.59,114.32,Forest,,,,,,,
38,7,Gao et al. 2015,Humid subtropical,Yangtze River,Hankou(2003-2010),8,1488000 ,5360,476 ,22459.66514,0.42,166.5988976,79.301 ,,,,,,,,,,,1133.333333,1000,14,1.23003731,30.59,114.32,Forest,,,,,,,
39,7,Gao et al. 2015,Humid subtropical,Yangtze River,Datong(1956?1969),14,1705400 ,5756,503 ,27201.17326,0.43,586.3726985,294.945 ,,,,,,,,,,,1169.767442,1071,14,1.14819319,30.72,117.47,Forest,,1.67,,,,,
40,7,Gao et al. 2015,Humid subtropical,Yangtze River,Datong(1970-1985),16,1705400 ,5756,511 ,27633.7963,0.43,510.6376729,260.936 ,,,,,,,,,,,1188.372093,1071,14,1.14819319,30.72,117.47,Forest,,6.63,,,,,
41,7,Gao et al. 2015,Humid subtropical,Yangtze River,Datong(1986-2002),17,1705400 ,5756,542 ,29310.21055,0.46,367.8352721,199.367 ,,,,,,,,,,,1178.26087,1071,14,1.14819319,30.72,117.47,Forest,,10.29,,,,,
42,7,Gao et al. 2015,Humid subtropical,Yangtze River,Datong(2003-2010),8,1705400 ,5756,476 ,25741.07052,0.42,187.2450634,89.129 ,,,,,,,,,,,1133.333333,1071,14,1.14819319,30.72,117.47,Forest,36.94,15.12,,,,,
43,8,HUANG et al. 2014,Humid subtropical,Guijiang River,Majiang(2012),1,19236 ,426,910 ,555,0.454940736,,,0.37,1.39,,,,0.336656145,1.264735246,,,1.601391391,2000,2000,20,3.4600939,23.47,111.28,Forest,,,,,,,
44,9,"Huiguo Sun, 2006",Humid subtropical,Xijiang River,Wuzhou(2005),1,329705 ,2014,70 ,729,0.042804312,55.48,3.869 ,0.77,1.55,,440.6429218,2.32,1.21017273,0.961465553,,10.13026797,2.171638283,1629,1629,20,0.86891758,23.49,111.32,Forest,30,9,,,,,     
45,9,"Huiguo Sun, 2007",Humid subtropical,Guijiang River,Wuzhou(2005),1,18790 ,438,911 ,543,0.455669186,12,10.936 ,0.3,1.28,,,1.58,0.273401511,1.166513115,,,1.439914627,2000,2000,20,3.53881279,23.49,111.32,Forest,33.02,2,,,,,
46,9,"Huiguo Sun, 2008",Humid subtropical,Hejiang River,Fengkai(2005),1,11590 ,338,691 ,254,0.446175244,4.91,3.393 ,0.12,1.24,,,1.36,0.082935054,0.856995562,,,0.939930616,1549,1549,20,1.06213018,23.46,111.51,Forest,33.02,12,1.45,1.244434839,25,20,
47,9,"Huiguo Sun, 2009",Humid subtropical,Luodingjiang River,Guanliang(2005) ,1,3164 ,201,847 ,85,0.546937423,21.87,1.865 ,0.35,2.29,,,2.64,0.296522124,1.940101896,,,2.23662402,1549,1549,20,4.83084577,22.84,111.68,Forest,,5.5,1.49,1.241090415,,,
48,10,Li et al. 2014,Humid subtropical,Yangtze River,Nanjing(2007-2008),1,1808500 ,6300,529 ,30336.64701,0.493930906,,79.624 ,,,,,,0.962123307,,,,0.962123307,1071,1071,14,0.85666667,32.22,119.08,Forest,37.52,23.69,,,,,
49,11,Liang Wang. 2014,Semiarid,Yellow River,Lijin(2010-2011),1,751900 ,5360,83 ,1968.68287,0.177952586,,,,,,,,0.465487432,0.053198564,0.513366139,0.747439819,0.5187,464,464,10,0.87966418,37.62,118.32,Grassland,17.4002322,143.08,,,,,
50,12,LIN et al. 2016,Humid subtropical,Yangtze River,Yangtze River Mouth(2003),1,1808500 ,6300,559 ,32057,0.535952946,,,,,,,,1.487420514,0.729886646,,,2.217307161,1043,1071,14,0.85698413,31.77,121.03,Forest,35.08,,,,,,
51,12,LIN et al. 2016,Humid subtropical,Yangtze River,Yangtze River Mouth(2004),1,1808500 ,6300,486 ,27890,0.479148978,,,,,,,,0.901299419,0.663533315,,,1.564832734,1015,1071,14,0.85698413,31.77,121.03,Forest,37.85,21.73337139,,,,,
52,13,Lu et al. 2012,Humid subtropical,Longchuanjiang River,Xiaohekou(2007-2009),2,1788 ,231,179 ,10.15,0.216995729,164,223.714 ,6.8,8.5,,,15,3.970917226,1.621923937,,,5.592841163,825,825,15.6,9.95670996,25.96,101.87,Forest,,,1.83,1.215829568,,,
53,14,"Luo Yan, 2007",Humid subtropical,Beijiang River,Sanshui(1971-2010),30,46710 ,468,1096 ,1623,0.613012329,151.3384615,165.831 ,3.01,2.15,,63.5,5.16,3.911368015,2.250053522,,16.42474845,6.159280668,1787.5,1757,20,1.0491453,23.17,112.83,Forest,,,,,,,
54,15,MWRC. 2004,Humid continental,Huaihe River,Lutaizi(2004),1,88600 ,650,163 ,457.8424188,0.208926876,141,28.104 ,,,,,,,,,,,780,780,15,1.72769231,32.54,116.56,Agriculture,37.5179872,97.37034091,,,,,
55,15,MWRC. 2004,Humid continental,Liaohe River,Liujianfang(2004),1,136500 ,1200,107 ,462.5776662,0.244611331,528,5.128 ,,,,,,,,,,,436.9,436.9,7,0.66,41.27,122.52,Agriculture,9.12,50.85020701,,,,,
56,15,MWRC. 2004,Humid subtropical,Pearl River,Pearl River Mouth(2004),1,453700 ,2214,596 ,8574.492643,0.470031546,126,59.310 ,,,,,,,,,,,1268,1268,20,0.85094851,22.93,113.56,Forest,30,14.81489351,,,,,
57,15,MWRC. 2004,Humid continental,Songhuajiang River,Jiamusi(2004),1,528300 ,1956,108 ,1805.956053,0.246746573,201,15.749 ,,,,,,,,,,,436.9,436.9,3,0.3696319,46.85,130.38,Agriculture,40.19487053,32.29984619,,,,,
58,15,MWRC. 2004,Humid subtropical,Yangtze River,Datong(2004),1,1705400 ,5756,462 ,25000,0.425295525,186,86.197 ,,,,,,,,,,,1087,1087,14,0.93606671,30.72,117.47,Forest,35.9,21.73337139,,,,,
59,15,MWRC. 2004,Semiarid,Yellow River,Lijin(2004),1,751900 ,5360,26 ,630.3906646,0.062682992,13000,343.131 ,,,,,,,,,,,421.8,421.8,10,0.87966418,37.62,118.32,Grassland,18.6037318,158.9045892,,,,,
60,16,MWRC. 2006,Humid continental,Huaihe River,Lutaizi(2006),1,88600 ,650,235 ,659.8133585,0.291018404,76,14.673 ,,,,,,,,,,,807,807,15,1.72769231,32.54,116.56,Agriculture,50.933897,56.89474846,,,,,
61,16,MWRC. 2006,Humid continental,Liaohe River,Liujianfang(2006),1,136500 ,1200,102 ,442.4200655,0.219436712,374,3.370 ,,,,,,,,,,,465.8,465.8,7,0.66,41.27,122.52,Agriculture,5.97,145.7111492,,,,,
62,16,MWRC. 2006,Humid subtropical,Pearl River,Pearl River Mouth(2006),1,453700 ,2214,1099 ,15807.9655,0.702100796,143,99.736 ,,,,,,,,,,,1565,1565,20,0.85094851,22.93,113.56,Forest,,17.26528123,,,,,
63,16,MWRC. 2006,Humid continental,Songhuajiang River,Jiamusi(2006),1,528300 ,1956,116 ,1945.110096,0.249270394,373,30.097 ,,,,,,,,,,,465.8,465.8,3,0.3696319,46.85,130.38,Agriculture,42.08333231,41.19041828,,,,,
64,16,MWRC. 2006,Humid subtropical,Yangtze River,Datong(2006),1,1705400 ,5756,467 ,25236.87215,0.429325151,123,49.724 ,,,,,,,,,,,1087,1087,14,0.93606671,30.72,117.47,Forest,36.7,24.28625529,,,,,
65,16,MWRC. 2006,Semiarid,Yellow River,Lijin(2006),1,751900 ,5360,61 ,1445.966514,0.148935075,7770,198.165 ,,,,,,,,,,,407.2,407.2,10,0.87966418,37.62,118.32,Grassland,12.9101698,169.8517544,,,,,
66,17,MWRC. 2007,Humid continental,Huaihe River,Lutaizi(2007),1,88600 ,650,352 ,988.1071838,0.359541713,78,26.524 ,,,,,,,,,,,978.2,978.2,15,1.72769231,32.54,116.56,Agriculture,53.18981263,38.47696925,,,,,
67,17,MWRC. 2007,Humid continental,Liaohe River,Liujianfang(2007),1,136500 ,1200,100 ,432.3619326,0.244050477,382,2.733 ,,,,,,,,,,,409.3,409.3,7,0.66,41.27,122.52,Agriculture,7.4,122.1158381,,,,,
68,17,MWRC. 2007,Humid subtropical,Pearl River,Pearl River Mouth(2007),1,453700 ,2214,876 ,12599.88584,0.628714276,64,33.326 ,,,,,,,,,,,1393,1393,20,0.85094851,22.93,113.56,Forest,,21.81896565,,,,,
69,17,MWRC. 2007,Humid continental,Songhuajiang River,Jiamusi(2007),1,528300 ,1956,80 ,1346.917955,0.19643795,126,6.455 ,,,,,,,,,,,409.3,409.3,3,0.3696319,46.85,130.38,Agriculture,39.1813212,79.48500532,,,,,
70,17,MWRC. 2007,Humid subtropical,Yangtze River,Datong(2007),1,1705400 ,5756,510 ,27585.29934,0.504503216,179,80.919 ,,,,,,,,,,,1011.1,1011.1,14,0.93606671,30.72,117.47,Forest,37.5,26.49050383,,,,,
71,17,MWRC. 2007,Semiarid,Yellow River,Lijin(2007),1,751900 ,5360,72 ,1718.987823,0.148930703,7210,195.505 ,,,,,,,,,,,484.1,484.1,10,0.87966418,37.62,118.32,Grassland,16.81063,149.4644531,,,,,
72,18,MWRC. 2008,Humid continental,Huaihe River,Lutaizi(2008),1,88600 ,650,290 ,813.8148994,0.3293538,112,27.540 ,,,,,,,,,,,879.5,879.5,15,1.72769231,32.54,116.56,Agriculture,55.49083312,79.37435111,,,,,
73,18,MWRC. 2008,Humid continental,Liaohe River,Liujianfang(2008),1,136500 ,1200,97 ,420.3748427,0.204206155,821,14.579 ,,,,,,,,,,,475.6,475.6,7,0.66,41.27,122.52,Agriculture,7.67,128.9508358,,,,,
74,18,MWRC. 2008,Humid subtropical,Pearl River,Pearl River Mouth(2008),1,453700 ,2214,1253 ,18021.62608,0.710525207,110,98.281 ,,,,,,,,,,,1763,1763,20,0.85094851,22.93,113.56,Forest,,19.27955237,,,,,
75,18,MWRC. 2008,Humid continental,Songhuajiang River,Jiamusi(2008),1,528300 ,1956,84 ,1413.045247,0.177353686,106,4.978 ,,,,,,,,,,,475.6,475.6,3,0.3696319,46.85,130.38,Agriculture,41.22008155,74.12362714,,,,,
76,18,MWRC. 2008,Humid subtropical,Yangtze River,Datong(2008),1,1705400 ,5756,548 ,29630.58092,0.510932712,157,76.228 ,,,,,,,,,,,1072.4,1072.4,14,0.93606671,30.72,117.47,Forest,37,24.75062444,,,,,
77,18,MWRC. 2008,Semiarid,Yellow River,Lijin(2008),1,751900 ,5360,60 ,1440.258752,0.1394758,5300,102.540 ,,,,,,,,,,,433.1,433.1,10,0.87966418,37.62,118.32,Grassland,14.31258931,182.1215324,,,,,
78,19,MWRC. 2009,Humid continental,Huaihe River,Lutaizi(2009),1,88600 ,650,201 ,565.5394423,0.251024188,85,12.528 ,,,,,,,,,,,801.9,801.9,15,1.72769231,32.54,116.56,Agriculture,57.83695845,114.2285373,,,,,
